dataset,estimator,n_samples,n_features,target_min,target_max,target_mean,target_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,nrmse,cv_time_seconds,cv_memory_mb,train_time_seconds,train_memory_mb,best_params,inner_cv_folds,outer_cv_folds
Housing,XGBoost,545,13,1750000.0,13300000.0,4766729.247706422,1870439.6156573922,1250382.4166666667,118522.64568261897,882300.1041666666,82102.6673327323,0.547810435295105,0.016222587775204304,0.1082582178932179,0.43776607513427734,0.2907094955444336,0.09428715705871582,0.06448936462402344,No grid search,5,5
Housing,sklearn_DecisionTree,545,13,1750000.0,13300000.0,4766729.247706422,1870439.6156573922,1599584.5364165884,101670.27679766082,1119313.1704207396,62575.58868391592,0.25382618941815727,0.06765289452828316,0.13849216765511588,0.08464956283569336,0.15430831909179688,0.006398439407348633,0.06089305877685547,No grid search,5,5
Housing,sklearn_RandomForest,545,13,1750000.0,13300000.0,4766729.247706422,1870439.6156573922,1133517.6717666297,159702.7140201415,799316.1566632263,106459.71253390759,0.6308930612326172,0.037314021634299754,0.09814005816161296,3.033437728881836,0.24376487731933594,0.9632782936096191,0.11245441436767578,No grid search,5,5
Housing,Our_RegressionTree,545,13,1750000.0,13300000.0,4766729.247706422,1870439.6156573922,1421281.516940169,157695.86229590236,1002020.5524187293,95552.06821788191,0.41739446703398997,0.028519885633371343,0.12305467679135662,22.871445655822754,0.4636707305908203,10.814934492111206,0.3954601287841797,{'min_samples_split': 10},5,5
Housing,Our_RandomForest,545,13,1750000.0,13300000.0,4766729.247706422,1870439.6156573922,1152313.7187413853,155082.07870438532,821075.06255214,118886.78995779804,0.6177476806470418,0.03816442783835293,0.09976742153605067,476.9964997768402,1.9120979309082031,225.70572185516357,2.4289989471435547,{'n_estimators': 20},5,5
Student_Performance,XGBoost,10000,5,10.0,100.0,55.2248,19.212557799463344,2.259858547938796,0.013934601768604062,1.798223681726384,0.01651391632902613,0.9861587993681313,0.00022143106763006392,0.02510953942154218,0.39550018310546875,1.0828943252563477,0.13187885284423828,0.24976634979248047,No grid search,5,5
Student_Performance,sklearn_DecisionTree,10000,5,10.0,100.0,55.2248,19.212557799463344,3.0252563768573615,0.04635989464854284,2.3916206957628376,0.02857677736629324,0.9751881335616078,0.0008610140982564591,0.03361395974285957,0.10586071014404297,1.095475196838379,0.029590845108032227,0.3155536651611328,No grid search,5,5
Student_Performance,sklearn_RandomForest,10000,5,10.0,100.0,55.2248,19.212557799463344,2.3288124181828915,0.02429006161934078,1.8519322579211865,0.016500694520200834,0.9852996009197096,0.00036531705211730584,0.025875693535365462,6.645441293716431,1.3116436004638672,2.6045475006103516,0.5597219467163086,No grid search,5,5
Student_Performance,Our_RegressionTree,10000,5,10.0,100.0,55.2248,19.212557799463344,2.5892233966748304,0.027753913600483772,2.0567262513546276,0.02020050294879784,0.9818280229494499,0.0004610459439488858,0.02876914885194256,178.52983736991882,3.693406105041504,82.36418867111206,4.094842910766602,{'min_samples_split': 10},5,5
Student_Performance,Our_RandomForest,10000,5,10.0,100.0,55.2248,19.212557799463344,2.364298773334568,0.03381320102501485,1.8810423342764881,0.025034478889189825,0.9848462940660055,0.00049153659111041,0.02626998637038409,4177.968506336212,25.62901496887207,1809.2318229675293,36.3850793838501,{'n_estimators': 20},5,5
Spotify,XGBoost,10000,16,0.0,97.0,32.912,22.259236360673654,19.525819778442383,0.20311521122955517,14.758899688720703,0.1660378123343251,0.23010470469792685,0.016920027883982752,0.2012971111179627,0.6364078521728516,2.0097885131835938,0.24540233612060547,0.3538980484008789,No grid search,5,5
Spotify,sklearn_DecisionTree,10000,16,0.0,97.0,32.912,22.259236360673654,27.73088830729006,0.16266974641983722,19.916468311498218,0.4782026394962379,-0.5527337214344495,0.018171435554313678,0.28588544646690783,0.5343344211578369,2.948641777038574,0.24907374382019043,1.8348255157470703,No grid search,5,5
Spotify,sklearn_RandomForest,10000,16,0.0,97.0,32.912,22.259236360673654,19.1868341998158,0.2888902375074733,15.006774311204367,0.3097905311184108,0.2564877465449102,0.0237975565834069,0.1978024144310907,36.39546060562134,2.9781856536865234,17.65805172920227,1.834970474243164,No grid search,5,5
Spotify,Our_RegressionTree,10000,16,0.0,97.0,32.912,22.259236360673654,26.277034277077252,0.20540439008327335,19.248843860376553,0.4495123702243801,-0.3942024763127943,0.02012885346884215,0.2708972605884253,581.3282017707825,8.776202201843262,279.1810505390167,8.754813194274902,{'min_samples_split': 10},5,5
Spotify,Our_RandomForest,10000,16,0.0,97.0,32.912,22.259236360673654,19.720361497247666,0.2794333567299364,15.344466061783145,0.3658524143870518,0.21456918989739437,0.024371221081384224,0.20330269584791408,12284.847430467606,32.322386741638184,5889.39998793602,46.27515983581543,{'n_estimators': 20},5,5
